title,org_name,url
Travailleur social CDD CDO (F/H/X),La Croix-Rouge française,https://jobs.makesense.org/fr/jobs/la-croix-rouge-francaise-travailleur-social-cdd-cdo-fhx-8a2IbOEwKIIlzswTO9kz
travailleur social (H/F),Fondation maison des champs,https://jobs.makesense.org/fr/jobs/fondation-maison-des-champs-travailleur-social-hf-8j7aizTRpHV2MEhb1kJj
Responsable d'équipe transversal CHUS (F/H/X),La Croix-Rouge française,https://jobs.makesense.org/fr/jobs/la-croix-rouge-francaise-responsable-dequipe-transversal-chus-fhx-8n7h8IxeypulqPdmg0Ho
Conseiller en Insertion Professionnelle - Public MNA - H/F,Fondation Apprentis d'Auteuil,https://jobs.makesense.org/fr/jobs/fondation-apprentis-dauteuil-conseiller-en-insertion-professionnelle-public-mna-hf-8obG3Vty1dreqfDnfTvD
Offre de stage - Chargé·e de communication digitale,Démocratie Ouverte,https://jobs.makesense.org/fr/jobs/democratie-ouverte-offre-de-stage-chargee-de-communication-digitale-8sKF98Qll6ZmuvuG4cQc
Agent technique (H/F),Fondation Perce Neige,https://jobs.makesense.org/fr/jobs/fondation-perce-neige-agent-technique-hf-8sQ2bxb503X83sxG6Eg4
Chargé.e d'animation et communication conciergerie de quartier (Melun) - Stage,La Conciergerie Solidaire,https://jobs.makesense.org/fr/jobs/la-conciergerie-solidaire-chargee-danimation-et-communication-conciergerie-de-quartier-melun-stage-8u3csh3qmMZ9GWugETcG
Directeur d'établissement EHPAD de Montjoie X/F/H,La Croix-Rouge française,https://jobs.makesense.org/fr/jobs/la-croix-rouge-francaise-directeur-detablissement-ehpad-de-montjoie-xfh-8vZhjV7GYHJhWj8xb4Jd
"Ingénieur thermique, fluides - Rénovation énergétique",Mordicus,https://jobs.makesense.org/fr/jobs/mordicus-ingenieur-thermique-fluides-renovation-energetique-8y02zAdQFw0Is8m3wI6O
TRAVAILLEUR SOCIAL (F/H/X) CDD temps plein,La Croix-Rouge française,https://jobs.makesense.org/fr/jobs/la-croix-rouge-francaise-travailleur-social-fhx-cdd-temps-plein-8yAqFA9KihiTufMNyx1a
Intervenant social et éducatif -  H/F,Fondation Apprentis d'Auteuil,https://jobs.makesense.org/fr/jobs/fondation-apprentis-dauteuil-intervenant-social-et-educatif-hf-96XURMQwn03WcQjh5wE0
CONSEILLER EN INSERTION SOCIAL ET PROFESSIONNELLE (F/H/X),La Croix-Rouge française,https://jobs.makesense.org/fr/jobs/la-croix-rouge-francaise-conseiller-en-insertion-social-et-professionnelle-fhx-9B4qHP6DwC9Fi903vHaC
🌿 Account Manager – CDI/CDD 🌿,aKagreen,https://jobs.makesense.org/fr/jobs/akagreen-account-manager-cdicdd-9E4imM203W6ZzmqUKAI0
Infirmier Diplômé d'Etat H/F/X,La Croix-Rouge française,https://jobs.makesense.org/fr/jobs/la-croix-rouge-francaise-infirmier-diplome-detat-hfx-9EBFpjYRpmnpGZrtIRPV
Chargé·e de projets - Publics prioritaires ,Association Droit Pluriel,https://jobs.makesense.org/fr/jobs/association-droit-pluriel-chargee-de-projets-publics-prioritaires-9RJbrrkuAuDflqQ2cK7x
Infirmier(e) de nuit (F/H/X),La Croix-Rouge française,https://jobs.makesense.org/fr/jobs/la-croix-rouge-francaise-infirmiere-de-nuit-fhx-9TXPzXYnGpoArNGnwbsP
Responsable magasin H/F,Ville Issy les Moulineaux,https://jobs.makesense.org/fr/jobs/ville-issy-les-moulineaux-responsable-magasin-hf-9TrHa7wcFcQngCqdZwOI
Jardinier et animateur,Ciel mon radis,https://jobs.makesense.org/fr/jobs/ciel-mon-radis-jardinier-et-animateur-9Vogb5zTaxDHF6qEYwfC
Stage en appui aux programmes de la filière protection de l'enfance,La Croix-Rouge française,https://jobs.makesense.org/fr/jobs/la-croix-rouge-francaise-stage-en-appui-aux-programmes-de-la-filiere-protection-de-lenfance-9f60NLZn7RMXkIG839Xv
Stage chargé de gestion RH (H/F),La Croix-Rouge française,https://jobs.makesense.org/fr/jobs/la-croix-rouge-francaise-stage-charge-de-gestion-rh-hf-9g3i5srpRiI7GhmrgoBz
Juriste - Conseil Juridique (H/F),Ville Issy les Moulineaux,https://jobs.makesense.org/fr/jobs/ville-issy-les-moulineaux-juriste-conseil-juridique-hf-9jQTxtKIF1h2mx4XLVNO
EDUCATEUR JEUNES ENFANTS H/F,Association Aurore,https://jobs.makesense.org/fr/jobs/association-aurore-educateur-jeunes-enfants-hf-9nCafG1MPo6MzkoI9BXz
"Soutenir la mobilisation citoyenne, co-animer des ateliers et des temps favorisant l’accès à la culture numérique et faciliter les liens sociaux",Eternel Solidaire,https://jobs.makesense.org/fr/jobs/eternel-solidaire-soutenir-la-mobilisation-citoyenne-co-animer-des-ateliers-et-des-temps-favorisant-lacces-a-la-culture-numerique-et-faciliter-les-liens-sociaux-9q2h98xsgMnuteSa9rhG
Un.e stagiaire animation numérique et CRM ,Unapei,https://jobs.makesense.org/fr/jobs/unapei-une-stagiaire-animation-numerique-et-crm-9wy7BEmmW17oreutZl0S
Chargé.e de Communication (Stage 6 mois),Fédération France Victimes,https://jobs.makesense.org/fr/jobs/federation-france-victimes-chargee-de-communication-stage-6-mois-9xvtHFgVE4mKomL6rb2i
Juriste droit social (H/F/X),La Croix-Rouge française,https://jobs.makesense.org/fr/jobs/la-croix-rouge-francaise-juriste-droit-social-hfx-A4AMTuwp37HXspztzKD6
Responsable développement dans les services à la personne (H/F),Petits-fils,https://jobs.makesense.org/fr/jobs/petits-fils-responsable-developpement-dans-les-services-a-la-personne-hf-ABNLEtjyVMBpwKbowjSI
Educateur spécialisé (H/F),Fondation Perce Neige,https://jobs.makesense.org/fr/jobs/fondation-perce-neige-educateur-specialise-hf-ACRpDBnhBG7aRydLf5b3
Ingénieur Maintenance et d'Application (H/F),SYLVABOT,https://jobs.makesense.org/fr/jobs/sylvabot-ingenieur-maintenance-et-dapplication-hf-ANJdl7SS40ryRJy6UCCP
Offre de formation - Accompagnateur socioprofessionnel F/H,Bimbamjob,https://jobs.makesense.org/fr/jobs/bimbamjob-offre-de-formation-accompagnateur-socioprofessionnel-fh-AVHwUwl8wHn0kWJeDwcI
INFIRMIER DIPLÔMÉ D’ETAT (H/F/X),La Croix-Rouge française,https://jobs.makesense.org/fr/jobs/la-croix-rouge-francaise-infirmier-diplome-detat-hfx-AfVDMF6ZrLUKNLqhPESO
Gestionnaire administratif financement et subvention pour la rénovation énergétique des copropriétés,VertDurable,https://jobs.makesense.org/fr/jobs/vertdurable-gestionnaire-administratif-financement-et-subvention-pour-la-renovation-energetique-des-coproprietes-AgrT7MW7qaBeQKS0LGAv
Responsable applicatifs SI et gestion de la documentation du SI (H/F),Ville Issy les Moulineaux,https://jobs.makesense.org/fr/jobs/ville-issy-les-moulineaux-responsable-applicatifs-si-et-gestion-de-la-documentation-du-si-hf-AtggjRTu1dmmXbohnnyl
Stage CSM Altitude H/F,AXA Climate,https://jobs.makesense.org/fr/jobs/axa-climate-stage-csm-altitude-hf-Auovcxuy0Kqnf9HkRasB
Chargé·e de Recrutement et Mobilité,Première Urgence Internationale,https://jobs.makesense.org/fr/jobs/premiere-urgence-internationale-chargee-de-recrutement-et-mobilite-AwIDglYvP7CEc8cZzxgB
ASSISTANT DE SOINS GERONTOLOGIQUE (H/F/X) -SRAD SARTROUVILLE,La Croix-Rouge française,https://jobs.makesense.org/fr/jobs/la-croix-rouge-francaise-assistant-de-soins-gerontologique-hfx-srad-sartrouville-AwOeHTWIpbnjQd1MJvoM
Responsable de Projet — Opérations & Aménagement de Bureaux,Bluedigo.fr,https://jobs.makesense.org/fr/jobs/bluedigofr-responsable-de-projet-operations-et-amenagement-de-bureaux-AyOmmpRMNakWzcUGrPDd
Aide-soignant de nuit (H/F),Fondation Perce Neige,https://jobs.makesense.org/fr/jobs/fondation-perce-neige-aide-soignant-de-nuit-hf-B5eriAtId92MSJtIOXN7
Chargé/Chargée de SSI,PIX,https://jobs.makesense.org/fr/jobs/pix-chargechargee-de-ssi-BD8AR9BOkMBXQ3HJRrlF
